wavenumber,u_stat,p_value,q_value,auc,n_high,n_low,significant,sample_type
1477.215431180909,1922.0,5e-06,1.4e-05,0.2918,74,89,True,PLASMA
1475.286951505739,1983.0,1.3e-05,3.3e-05,0.3011,74,89,True,PLASMA
1473.358471830568,2048.0,3.4e-05,8.1e-05,0.311,74,89,True,PLASMA
1471.429992155397,2166.0,0.000173,0.000381,0.3289,74,89,True,PLASMA
1469.501512480226,2242.0,0.000463,0.000966,0.3404,74,89,True,PLASMA
1467.573032805055,2253.0,0.000531,0.001099,0.3421,74,89,True,PLASMA
1465.644553129884,2230.0,0.000398,0.000844,0.3386,74,89,True,PLASMA
1463.716073454713,2156.0,0.000152,0.000335,0.3274,74,89,True,PLASMA
1461.787593779542,2074.0,4.9e-05,0.000114,0.3149,74,89,True,PLASMA
1459.859114104371,2003.0,1.7e-05,4.3e-05,0.3041,74,89,True,PLASMA
1457.930634429201,1933.0,6e-06,1.6e-05,0.2935,74,89,True,PLASMA
1456.00215475403,1887.0,3e-06,9e-06,0.2865,74,89,True,PLASMA
1454.073675078859,1815.0,1e-06,3e-06,0.2756,74,89,True,PLASMA
1452.145195403688,1761.0,0.0,1e-06,0.2674,74,89,True,PLASMA
1450.216715728517,1742.0,0.0,1e-06,0.2645,74,89,True,PLASMA
1448.288236053346,1734.0,0.0,1e-06,0.2633,74,89,True,PLASMA
1446.359756378175,1781.0,0.0,2e-06,0.2704,74,89,True,PLASMA
1444.431276703004,1845.0,1e-06,5e-06,0.2801,74,89,True,PLASMA
1442.502797027833,1861.0,2e-06,6e-06,0.2826,74,89,True,PLASMA
1440.574317352662,1848.0,1e-06,5e-06,0.2806,74,89,True,PLASMA
1438.645837677491,1849.0,1e-06,5e-06,0.2807,74,89,True,PLASMA
1436.71735800232,1851.0,2e-06,5e-06,0.2811,74,89,True,PLASMA
1434.78887832715,1874.0,2e-06,7e-06,0.2845,74,89,True,PLASMA
1432.860398651979,1918.0,5e-06,1.3e-05,0.2912,74,89,True,PLASMA
1430.931918976808,1920.0,5e-06,1.3e-05,0.2915,74,89,True,PLASMA
1429.003439301637,1960.0,9e-06,2.4e-05,0.2976,74,89,True,PLASMA
1427.074959626466,1972.0,1.1e-05,2.8e-05,0.2994,74,89,True,PLASMA
1425.146479951295,2009.0,1.9e-05,4.7e-05,0.305,74,89,True,PLASMA
1423.218000276124,2058.0,3.9e-05,9.3e-05,0.3125,74,89,True,PLASMA
1421.289520600953,2101.0,7.1e-05,0.000164,0.319,74,89,True,PLASMA
1419.361040925782,2134.0,0.000113,0.000253,0.324,74,89,True,PLASMA
1417.432561250612,2181.0,0.000212,0.00046,0.3312,74,89,True,PLASMA
1415.504081575441,2204.0,0.000285,0.000613,0.3346,74,89,True,PLASMA
1413.57560190027,2235.0,0.000424,0.000892,0.3394,74,89,True,PLASMA
1411.647122225099,2277.0,0.000712,0.001451,0.3457,74,89,True,PLASMA
1409.718642549928,2326.0,0.001275,0.002442,0.3532,74,89,True,PLASMA
1407.790162874757,2347.0,0.001624,0.003027,0.3564,74,89,True,PLASMA
1405.861683199586,2349.0,0.001662,0.003081,0.3567,74,89,True,PLASMA
1403.933203524415,2341.0,0.001516,0.002847,0.3555,74,89,True,PLASMA
1402.004723849244,2336.0,0.001432,0.002694,0.3547,74,89,True,PLASMA
1400.076244174074,2332.0,0.001367,0.002592,0.3541,74,89,True,PLASMA
1398.147764498902,2344.0,0.00157,0.002932,0.3559,74,89,True,PLASMA
1396.219284823732,2361.0,0.001904,0.003496,0.3585,74,89,True,PLASMA
1394.290805148561,2391.0,0.002657,0.00481,0.363,74,89,True,PLASMA
1392.36232547339,2453.0,0.005139,0.008964,0.3725,74,89,True,PLASMA
1390.433845798219,2574.0,0.016626,0.027375,0.3908,74,89,True,PLASMA
1388.505366123048,2762.0,0.077019,0.118874,0.4194,74,89,False,PLASMA
1386.576886447877,2987.0,0.308543,0.412831,0.4535,74,89,False,PLASMA
1384.648406772706,3288.0,0.988033,0.989328,0.4992,74,89,False,PLASMA
1382.719927097535,3564.0,0.367257,0.47396,0.5411,74,89,False,PLASMA
1380.791447422364,3810.0,0.085145,0.129842,0.5785,74,89,False,PLASMA
1378.862967747194,4057.0,0.010932,0.018275,0.616,74,89,True,PLASMA
1376.934488072023,4270.0,0.001135,0.002183,0.6483,74,89,True,PLASMA
