target,target_group,sample_type,model,n_components,r2,rmse,n_train,n_test
monocytes,cbc,SERUM,PLS-R,4,0.1345,0.1656,163,34
monocytes,cbc,URINE,PLS-R,1,0.0271,0.1669,155,34
platetes,cbc,CAPILAR,PLS-R,1,0.0458,42.53,150,41
platetes,cbc,PLASMA,PLS-R,1,0.1354,43.1254,166,39
platetes,cbc,SALIVA,PLS-R,1,0.0458,49.6758,168,40
platetes,cbc,SERUM,PLS-R,1,0.0153,50.9524,163,33
platetes,cbc,URINE,PLS-R,3,-0.5911,36.239,154,34
salivarycortisol,hormonal,CAPILAR,PLS-R,1,-87.236,26.3158,151,37
salivarycortisol,hormonal,PLASMA,PLS-R,1,-131.7627,31.2085,162,40
salivarycortisol,hormonal,SALIVA,PLS-R,1,-23.4576,47.2356,176,42
salivarycortisol,hormonal,SERUM,PLS-R,1,-47.5647,29.0229,154,39
salivarycortisol,hormonal,URINE,PLS-R,1,-0.0448,101.2243,151,39
salivarytestosterone,hormonal,CAPILAR,PLS-R,1,-76617715.0782,729325.7423,151,36
salivarytestosterone,hormonal,PLASMA,PLS-R,1,-97154999.5276,768167.9634,164,37
salivarytestosterone,hormonal,SALIVA,PLS-R,1,-133677669.6258,902333.8133,175,42
salivarytestosterone,hormonal,SERUM,PLS-R,1,-157968066.9598,820845.3419,154,38
salivarytestosterone,hormonal,URINE,PLS-R,2,-0.0263,11991188.0433,150,39
il_10,hormonal,CAPILAR,PLS-R,1,-0.3019,0.5006,149,45
il_10,hormonal,PLASMA,PLS-R,1,-0.0695,0.5606,172,36
il_10,hormonal,SALIVA,PLS-R,1,-0.4656,0.5467,168,39
il_10,hormonal,SERUM,PLS-R,1,-0.0873,0.5031,162,37
il_10,hormonal,URINE,PLS-R,1,0.1187,0.5435,146,40
